,,,,,,,
№,Этап проверки,Объект проверки,Описание проверки,Статус,Окружение Google chrome версия 146.0.7680.155 1920x1080,Окружение Yandex Браузер версия 25.12.5.693 1280x720 ,Ссылка на баг-репорт
VDS4,,"Статусы: Самокат на складе неактивен, завершен","Иконка шаг 1 имеет иконку ✓ - цвет иконки белый, с серым обрамлением, цвет текста серый, обычный шрифт, расположение в правой части страницы",Passed,Passed,Failed,WVYA1
VDS5,,,"Заголовок ""Самокат на складе"" - цвет текста серый, обычный шрифт, выравнивание по левому краю, расположение справа от иконки шага 1",Passed,Passed,Passed,
VDS6,,,"Подзаголовок ""Скоро курьер заберет его"" - цвет текста серый, обычный шрифт, выравнивание по левому краю, расположение снизу от заголовка ""Самокат на складе""",Passed,Passed,Passed,
VDS7,,Статусы: Курьер едет к вам активен,"Иконка шаг 2 - цвет иконки белый, с черным обрамлением, круглой формы, цвет текста черный, обычный шрифт, расположение в правой части страницы под статусом 1",Passed,Passed,Failed,WVYA1
VDS8,,,"Заголовок ""Курьер ""..."" едет к вам"" - цвет текста черный, обычный шрифт, выравнивание по левому краю, расположение справа от иконки шага 1, имя курьера вместо ""...""",Failed,Failed,Failed,WCNM1
VDS9,,,"Подзаголовок ""Номер для связи: 0101"" - цвет текста черный, обычный шрифт, выравнивание по левому краю, расположение снизу от заголовка ""Курьер ""..."" едет к вам""",Passed,Passed,Passed,
VDS10,,Статусы: Курьер едет к вам неактивен,"Иконка шаг 2 - цвет иконки белый, с серым обрамлением, круглой формы, цвет текста серый, обычный шрифт, расположение в правой части страницы под статусом 1",Passed,Passed,Failed,WVYA1
VDS11,,,"Заголовок ""Курьер едет к вам"" - цвет текста серый, обычный шрифт, выравнивание по левому краю, расположение справа от иконки шага 2",Passed,Passed,Passed,
VDS12,,,"Подзаголовок ""Номер для связи: 0101"" - цвет текста серый, обычный шрифт, выравнивание по левому краю, расположение снизу от заголовка ""Курьер едет к вам""",Passed,Passed,Passed,
VDS13,,"Статусы: Курьер едет к вам неактивен, завершен","Иконка шаг 2 имеет иконку ✓ - цвет иконки белый, с серым обрамлением, цвет текста серый, обычный шрифт, расположение в правой части страницы под статусом 1",Passed,Passed,Failed,WVYA1
VDS14,,,"Заголовок ""Курьер едет к вам"" - цвет текста серый, обычный шрифт, выравнивание по левому краю, расположение справа от иконки шага 2",Passed,Passed,Passed,
VDS15,,,"Подзаголовок ""Номер для связи: 0101"" - цвет текста серый, обычный шрифт, выравнивание по левому краю, расположение снизу от заголовка ""Курьер ""..."" едет к вам""",Passed,Passed,Passed,
VDS16,,Статусы: Курьер задерживается активен,"Иконка шаг 2 - цвет иконки красный, с красным обрамлением, круглой формы, цвет текста красный, обычный шрифт, расположение в правой части страницы под статусом 1",Passed,Passed,Failed,WVYA1
VDS17,,,"Заголовок ""Курьер задерживается"" - цвет текста красный, обычный шрифт, выравнивание по левому краю, расположение справа от иконки шага 2",Passed,Passed,Passed,
VDS18,,,"Подзаголовок ""Не успеем привезти самокат вовремя. Чтобы уточнить статус заказа, позвоните в поддержку: 0101"" - цвет текста красный, обычный шрифт, выравнивание по левому краю, расположение снизу от заголовка ""Курьер задерживается""",Passed,Passed,Passed,
VDS19,,Статусы: Курьер на месте активен,"Иконка шаг 3 - цвет иконки белый, с черным обрамлением, круглой формы, цвет текста черный, обычный шрифт, расположение в правой части страницы под статусом 2",Blocked,Blocked,Blocked,MAUT1
VDS20,,,"Заголовок ""Курьер на месте"" - цвет текста черный, обычный шрифт, выравнивание по левому краю, расположение справа от иконки шага 3",Blocked,Blocked,Blocked,MAUT1
VDS21,,,"Подзаголовок ""Заберите самокат и оплатите аренду"" - цвет текста черный, обычный шрифт, выравнивание по левому краю, расположение снизу от заголовка ""Курьер на месте""",Blocked,Blocked,Blocked,MAUT1
VDS22,,Статусы: Курьер на месте неактивен,"Иконка шаг 3 - цвет иконки белый, с серым обрамлением, круглой формы, цвет текста серый, обычный шрифт, расположение в правой части страницы под статусом 2",Passed,Passed,Failed,WVYA1
VDS23,,,"Заголовок ""Курьер на месте"" - цвет текста серый, обычный шрифт, выравнивание по левому краю, расположение справа от иконки шага 3",Passed,Passed,Passed,
VDS24,,,"Подзаголовок ""Заберите самокат и оплатите аренду"" - цвет текста серый, обычный шрифт, выравнивание по левому краю, расположение снизу от заголовка ""Курьер на месте""",Passed,Passed,Passed,
VDS25,,"Статусы: Курьер на месте неактивен, завершен","Иконка шаг 3 имеет иконку ✓ - цвет иконки белый, с серым обрамлением, цвет текста серый, обычный шрифт, расположение в правой части страницы под статусом 2",Passed,Passed,Failed,WVYA1
VDS26,,"Статусы: Ну всё, теперь кататься активен","Иконка шаг 4 - цвет иконки белый, с черным обрамлением, круглой формы, цвет текста черный, обычный шрифт, расположение в правой части страницы под статусом 3",Passed,Passed,Failed,WVYA1
VDS27,,,"Заголовок ""Ну всё, теперь кататься"" - цвет текста черный, обычный шрифт, выравнивание по левому краю, расположение справа от иконки шага 4",Passed,Passed,Passed,
VDS28,,,"Подзаголовок ""Аренда закончится ..."" - цвет текста черный, обычный шрифт, выравнивание по левому краю, расположение снизу от заголовка ""Ну всё, теперь кататься"", ""..."" - дата окончания аренды. Считается с даты доставки заказа",Passed,Passed,Passed,
VDS29,,"Статусы: Ну всё, теперь кататься неактивен","Иконка шаг 4 - цвет иконки белый, с серым обрамлением, круглой формы, цвет текста серый, обычный шрифт, расположение в правой части страницы под статусом 3",Passed,Passed,Failed,WVYA1
VDS30,,,"Заголовок ""Ну всё, теперь кататься"" - цвет текста серый, обычный шрифт, выравнивание по левому краю, расположение справа от иконки шага 4",Passed,Passed,Passed,
VDS31,,,"Подзаголовок ""Пока не закончится аренда"" - цвет текста серый, обычный шрифт, выравнивание по левому краю, расположение снизу от заголовка ""Ну всё, теперь кататься""",Passed,Passed,Passed,
VDS32,,"Статусы: Ну всё, теперь кататься неактивен, завершен","Иконка шаг 4 имеет иконку ✓ - цвет иконки белый, с серым обрамлением, цвет текста серый, обычный шрифт, расположение в правой части страницы под статусом 3",Failed,Failed,Failed,"WGAL1, WVYA1"
VDS33,,Статусы: Время аренды кончилось активен,"Иконка шаг 5 - цвет иконки белый, с черным обрамлением, круглой формы, цвет текста черный, обычный шрифт, расположение в правой части страницы под статусом 4",Passed,Passed,Passed,
VDS34,,,"Заголовок ""Время аренды кончилось"" - цвет текста черный, обычный шрифт, выравнивание по левому краю, расположение справа от иконки шага 5",Passed,Passed,Passed,
VDS35,,,"Подзаголовок ""Скоро курьер заберет самокат"" - цвет текста черный, обычный шрифт, выравнивание по левому краю, расположение снизу от заголовка ""Время аренды закончилось""",Passed,Passed,Passed,
VDS36,,Статусы: Время аренды кончилось неактивен,"Иконка шаг 5 - цвет иконки белый, с серым обрамлением, круглой формы, цвет текста серый, обычный шрифт, расположение в правой части страницы под статусом 4",Skipped,Skipped,Skipped,"Нельзя проверить в связи с тем, что элемент отображается только когда статус = Время аренды кончилось"
VDS37,,,"Заголовок ""Время аренды закончилось"" - цвет текста серый, обычный шрифт, выравнивание по левому краю, расположение справа от иконки шага 5",Skipped,Skipped,Skipped,"Нельзя проверить в связи с тем, что элемент отображается только когда статус = Время аренды кончилось"
VDS38,,,"Подзаголовок ""Скоро курьер заберет самокат"" - цвет текста серый, обычный шрифт, выравнивание по левому краю, расположение снизу от заголовка ""Время аренды закончилось""",Skipped,Skipped,Skipped,"Нельзя проверить в связи с тем, что элемент отображается только когда статус = Время аренды кончилось"
VCN1,"Верстка окно ""Отмена заказа""",Форма отмены заказа,"прямоугольная форма белого цвета, со скругленными углами, с черным обрамлением, расположена по центру страницы",Passed,Passed,Passed,
VCN2,,"Заголовок ""Хотите отменить заказ?""","Текст Хотите отменить заказ? цвет черный, жирный шрифт, выравнивание по центру, расположение в верхней части формы по центру",Passed,Passed,Passed,
VCN3,,"Кнопка ""Назад""","Текст Назад, цвет белый, обычный шрифт, выравнивание по центру, форма кнопки прямоугольная со скругленными углами, цвет черный, без обрамления, расположена в левой нижней части формы",Passed,Passed,Passed,
VCN4,,"Кнопка ""Отменить""","Текст Отменить, цвет черный, обычный шрифт, выравнивание по центру, форма кнопки прямоугольная, со скругленными углами, цвет белый, черное обрамление, расположена в правой нижней части формы",Passed,Passed,Passed,
VCS1,"Верстка окно ""Заказ отменен успешно""","Форма ""Заказ отменен""","прямоугольная форма белого цвета, со скругленными углами, с черным обрамлением, расположена по центру страницы",Passed,Passed,Passed,
VCS2,,"Заголовок ""Заказ отменён","Текст ""Заказ отменён"", цвет черный, обычный шрифт, выравнивание по центру, расположение в верхней части формы по центру
",Passed,Passed,Passed,
VCS3,,"Подзаголовок ""Возвращайтесь, мы всегда вас ждем :)""","Текст Возвращайтесь, мы всегда вас ждём :), цвет черный, обычный шрифт, выравнивание по центру, расположение под заголовком ""Заказ отменён""",Passed,Passed,Passed,
VCS4,,"Кнопка ""Хорошо""","Текст Хорошо, цвет белый, обычный шрифт, выравнивание по центру, форма кнопки прямоугольная, со скругленными углами, цвет черный, без обрамления, расположена в нижней правой части формы",Failed,Failed,Failed,WОТМ1
LSH1,"Логика окно ""Статус заказа""","Кнопка ""Заказать""","При нажатии кнопки происходит переход к экрану ""Сделать заказ"", всегда активна",Passed,Passed,Passed,
LSH2,,"Кнопка ""Статус заказа""",При нажатии открывается поле для ввода номера заказа №1,Passed,Passed,Passed,
LSH3,,"Поле для ввода номера заказа №1 над кнопкой ""Посмотреть""",в поле можно ввести любое значение,Passed,Passed,Passed,
LSH4,,Кнопка Gо!,"В поле №1 введен существующий номер заказа, при нажатии кнопки выводится информация по заказу",Passed,Passed,Passed,
LSH5,,,"В поле №1 не введен номер заказа, при нажатии кнопки выводится изображение ""Такого заказа нет""",Failed,Failed,Failed,WSZK1
LSH6,,,"В поле №1 введен несуществующий номер заказа, при нажатии кнопки выводится изображение ""Такого заказа нет""",Failed,Failed,Failed,WSZK1
LPS1,,"Поле для ввода номера заказа №2 под словами ""Яндекс Самокат""",в поле можно ввести любое значение,Passed,Passed,Passed,
LPS2,,"Кнопка ""Посмотреть""","В поле №2 введен существующий номер заказа, при нажатии кнопки выводится информация по заказу",Passed,Passed,Passed,
LPS3,,,"В поле №2 не введен номер заказа, при нажатии кнопки выводится изображение ""Такого заказа нет""",Passed,Passed,Passed,
LPS4,,,"В поле №2 введен несуществующий номер заказа, при нажатии кнопки выводится изображение ""Такого заказа нет""",Passed,Passed,Passed,
ZFM1,,"Значение ""Имя""",Имя при создании заказа пользователем = Имя в окне Статус заказа - Мария,Passed,Passed,Passed,
ZFM2,,"Значение ""Фамилия""",Фамилия при создании заказа пользователем = Фамилия в окне Статус заказа - Федорова,Passed,Passed,Passed,
ZFM3,,"Значение ""Адрес""","Адрес при создании заказа пользователем = Адрес в окне Статус заказа - 1-я Тверская-Ямская улица, 13с1",Passed,Passed,Passed,
ZFM4,,"Значение ""Станция метро""",Станция метро при создании заказа пользователем = Станция метро в окне Статус заказа - Охотный ряд,Failed,Failed,Failed,WSTM1
ZFM5,,"Значение ""Телефон""",Телефон при создании заказа пользователем = Телефон в окне Статус заказа - +78986665544,Passed,Passed,Passed,
ZFM6,,"Значение ""Дата доставки""",Дата доставки при создании заказа пользователем = Дата доставки в окне Статус заказа - 05.04.2026,Failed,Failed,Failed,WSTD1
ZFM7,,"Значение ""Срок аренды""",Срок аренды при создании заказа пользователем = Срок аренды в окне Статус заказа - семеро суток,Passed,Passed,Passed,
ZFM8,,"Значение ""Комментарий""",Комментарий при создании заказа пользователем = Комментарий в окне Статус заказа - семеро суток,Passed,Passed,Passed,
ZFM9,,"Значение ""Цвет""","Если при заказе пользователь выбрал чекбокс Чёрный жемчуг, тогда в окне Статус заказа Цвет = Чёрный жемчуг",Passed,Passed,Passed,
ZFM10,,,"Если при заказе пользователь выбрал чекбокс, серая безысходность, тогда в окне Статус заказа Цвет = серая безысходность",Passed,Passed,Passed,
ZFM11,,,"Если при заказе пользователь выбрал чекбоксы: Чёрный жемчуг и серая безысходность, тогда в окне Статус заказа Цвет = любой",Failed,Failed,Failed,WSTS1
ZFM12,,,Если при заказе пользователь не выбрал чекбоксы тогда в окне Статус заказа Цвет = любой,Passed,Passed,Passed,
LSZ1,,Статусы: Общее,"При продвижении заказа по статусам, иконки с номерами статуса отмечаются символом ✓",Failed,Failed,Failed,WGAL1
LSZ2,,Статусы: Курьер задерживается (просроченный заказ),"Если курьер не успел доставить самокат в ту же дату, до 23:59 - Статус ""Курьер едет к вам"" изменяется на ""Курьер задерживается"", текст загорается красным",Failed,Failed,Failed,WSTP1
LSZ3,,"Кнопка ""Отменить заказ""","Кнопка активна пока статус = 1 - ""Самокат на складе""",Passed,Passed,Passed,
LSZ4,,,"Кнопка не активна, когда статус = 2",Passed,Passed,Passed,
LSZ5,,,"Кнопка не активна, когда статус = 3",Blocked,Blocked,Blocked,MAUT1
LSZ6,,,"Кнопка не активна, когда статус = 4",Passed,Passed,Passed,
LSZ7,,,"Кнопка не активна, когда статус = 5",Passed,Passed,Passed,
LSZ8,,,"При нажатии поверх формы статуса заказа открывается окно ""Отмена заказа"", форма ""Статус заказа"" некликабельна, затемнена",Passed,Passed,Passed,
LSZ9,,"Статус ""Ну всё, теперь кататься""","Статус не изменяется на ""Время аренды кончилось""",Failed,Failed,Failed,WSTA1
LSZ10,,Проверка активации каждого статуса,"После формирования заказа, в окне Статус заказа активируется статус 1 ""Самокат на складе""",Passed,Passed,Passed,
LSZ11,,,"После принятия заказа курьером, в окне Статус заказа активируется статус 2 ""Курьер ""..."" едет к вам"", статус 1 ""Самокат на складе"" деактивируется",Passed,Passed,Passed,
LSZ12,,,"После того, как курьер нажал кнопку ""Завершить"" у себя в приложении, в окне Статус заказа активируется статус 3 ""Курьер на месте"", статус 2 ""Курьер ""..."" едет к вам"" деактивируется",Blocked,Blocked,Blocked,MAUT1
LSZ13,,,"После того, как курьер подтвердил завершение заказа, в окне Статус заказа активируется статус 4 ""Ну всё, теперь кататься"", статус 3 ""Курьер на месте"" деактивируется",Blocked,Blocked,Blocked,MAUT1
LSZ14,,,"После того, как время аренды закончилось, в окне Статус заказа активируется статус 5 ""Время аренды закончилось"", статус 4 ""Ну всё, теперь кататься"" деактивируется",Passed,Passed,Passed,
LOZ1,"Логика окно ""Отмена заказа""","Кнопка ""Назад""","При нажатии окно ""Отмена заказа"" закрывается, снова доступна работа с  окном ""Статус заказа""",Passed,Passed,Passed,
LOZ2,,"Кнопка ""Отменить""","При нажатии окно ""Отмена заказа"" закрывается, открывается окно ""Заказ отменен успешно"" форма ""Статус заказа"" некликабельна, затемнена",Passed,Passed,Passed,
LOZ3,,,"Заказ отменяется после выполнения ручки PUT /api/v1/orders/cancel 
тело
{
    ""track"": 123456
}",Failed,Failed,Failed,WОТМ2
LOZ4,,,Отмененный заказ нельзя найти через поиск заказа,Failed,Failed,Failed,WОТМ3
LZO1,"Логика окно ""Заказ отменен успешно""","Кнопка ""Хорошо""",При нажатии кнопки происходит переход к главному окну лендинга,Passed,Passed,Passed,
